,Nama Panti,Tipe Panti,Jenis Yayasan,Jumlah Berita Kegiatan,Tanggal Gabung,Data Terakhir Update,Nama Pemilik,Alamat,Description,Kebutuhan,Tag Kebutuhan,Program,Tag Program,Jumlah Pengurus,Jumlah Anak,Laki-laki,Perempuan,Jumlah Tag Kebutuhan,Jumlah Tag Program,Description_clean,Kebutuhan_clean,Program_clean,text
462,pantiku 1 test,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,12 Oct 2021,01 Mar 2023,ajib,aaa,ajib banget,aaa,"['Makanan', 'Fasilitas', 'Infrastruktur', 'Pendidikan']",a,['Keagamaan'],23.0,33,22.0,11.0,1,1,ajib banget,aaa,a,pantiku 1 test ajib banget aaa a Makanan Fasilitas Infrastruktur Pendidikan
463,Rumah Impian,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],3,19 Oct 2021,03 Mar 2023,Kim Young Gil,"Jl. Soka No.99, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237, Indonesia","Yayasan Rumah Impian sebagai payung dari LKSA Rumah Impian berlokasi di jln. Soka no. 99, kesiman, Denpasar Timur, Bali. LKSA menyantuni anak-anak kurang mampu, yatim,piatu, yatim piatu dan anak terlantar baik dalam maupun luar panti. saat ini anak-anak sejumlah 20 orang semuanya laki-laki. anak- anak berasal dari Bali, Sumba, Kupang dan juga jakarta","kebutuhan dalam 30 hari :
Sembako
beras: 210 kg
telur : 4 krat
sayur lauk pauk : 200.000x4 = 800.000
sabun : 20 buah 
sikat gigi : 20 buah
detergen : 1 dus 

Pendidikan :
spp siswa : 16 orang= 2.500.000
buku tulis : 40 buah
pulpen : 20 buah","['Makanan', 'Kesehatan', 'Pendidikan', 'Operasional', 'Pakaian']",program kami yang utama adalah dalam pendidikan. dengan pendidikan mereka akan mampu dan siap dengan tantangan hidup saat nanti sudah berkecimpung di dunia masyarakat. caranya dengan menyiapkan anak-anak dengan keahlian yang mereka inginkan sesuai keingin,['Pendidikan'],4.0,21,20.0,1.0,1,1,yayasan rumah impian payung lksa rumah impian berlokasi jln soka no 99 kesiman denpasar timur bali lksa menyantuni anak anak yatim piatu yatim piatu anak terlantar panti anak anak 20 orang laki laki anak anak berasal bali sumba kupang jakarta,kebutuhan 30 sembako beras 210 kg telur 4 krat sayur lauk pauk 200 000x4 800 000 sabun 20 buah sikat gigi 20 buah detergen 1 dus pendidikan spp siswa 16 orang 2 500 000 buku tulis 40 buah pulpen 20 buah,program utama pendidikan pendidikan tantangan hidup berkecimpung dunia masyarakat anak anak keahlian sesuai keingin,Rumah Impian yayasan rumah impian payung lksa rumah impian berlokasi jln soka no 99 kesiman denpasar timur bali lksa menyantuni anak anak yatim piatu yatim piatu anak terlantar panti anak anak 20 orang laki laki anak anak berasal bali sumba kupang jakarta kebutuhan 30 sembako beras 210 kg telur 4 krat sayur lauk pauk 200 000x4 800 000 sabun 20 buah sikat gigi 20 buah detergen 1 dus pendidikan spp siswa 16 orang 2 500 000 buku tulis 40 buah pulpen 20 buah program utama pendidikan pendidikan tantangan hidup berkecimpung dunia masyarakat anak anak keahlian sesuai keingin Makanan Kesehatan Pendidikan Operasional Pakaian
464,Kita Peduli Lampung,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,26 Oct 2021,02 Mar 2023,Frandy Hersanto,"Jl. M. Husni Thamrin No.23, Gotong Royong, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35119, Indonesia","Panti Asuhan Kita Peduli berdiri tahun 2016 merupakan lembaga sosial yang bergerak dalam bidang sosial, keagamaan dan pendidikan. Saat ini Panti Asuhan Kita Peduli mengasuh dan mendidik anak -anak Yatim,Piatu & Dhuafa sebanyak 30 anak dalam Panti dengan jenjang pendidikan TK, SD, SMP, SMA/SMK.
Panti Asuhan Kita Peduli saat ini masih menyewa sebuah rumah dengan biaya sewa 25 Juta / Tahun dan belum memiliki donatur tetap.","Kebutuhan pokok sehari hari

Biaya pendidikan

Biaya beli gedung (sekitar 500 juta Rupiah)","['Makanan', 'Fasilitas', 'Pendidikan']",Mendirikan balai latihan kerja untuk anak asuh,"['Pendidikan', 'Keterampilan']",5.0,30,8.0,22.0,2,2,panti asuhan peduli berdiri 2016 lembaga sosial bergerak bidang sosial keagamaan pendidikan panti asuhan peduli mengasuh mendidik anak anak yatim piatu dhuafa 30 anak panti jenjang pendidikan tk sd smp sma smk panti asuhan peduli menyewa rumah biaya sewa 25 juta memiliki donatur,kebutuhan pokok sehari biaya pendidikan biaya beli gedung 500 juta rupiah,mendirikan balai latihan kerja anak asuh,Kita Peduli Lampung panti asuhan peduli berdiri 2016 lembaga sosial bergerak bidang sosial keagamaan pendidikan panti asuhan peduli mengasuh mendidik anak anak yatim piatu dhuafa 30 anak panti jenjang pendidikan tk sd smp sma smk panti asuhan peduli menyewa rumah biaya sewa 25 juta memiliki donatur kebutuhan pokok sehari biaya pendidikan biaya beli gedung 500 juta rupiah mendirikan balai latihan kerja anak asuh Makanan Fasilitas Pendidikan
465,Al Hidayah Makasar,Lembaga Kesejahteraan Sosial Anak,"['Panti Anak Mukim', 'Panti Anak Non Mukim']",0,26 Oct 2021,03 Mar 2023,Wirawastati Arief Wangsa,"Jl. Arif Rahman Hakim 1 No.13, Ujung Pandang Baru, Kec. Tallo, Kota Makassar, Sulawesi Selatan 90211, Indonesia","Sejarah singkat Yayasan Al-Hidayah Sulawesi Selatan
Yayasan Al-Hidayah, pada mulanya bernama Yayasan Panti Asuhan Al-Hidayah yang didirikan pada tanggal 18 Oktober 1983 di Ujung Pandang oleh beberapa orang yakni :
1.        Ny. H. St. Hadawiyah B. Arief Wangsa
2.        Nn. Dra. Nurhayati R. Matemmang
3.        Ny. H. Aminah Naim
4.        Nn. Sri Sakti
5.        Ny. Hj. Djuhrah Nur Rasuly
6.        Nn. Khaeriyah Harun
Yang sekaligus menjadi badan Pengurus Yayasan Pertama. Selain  badan Pengurus tersebut diatas, ada juga pengurus Daerah Pengajian Al-Hidayah keluarga besar Golkar Tk. I Sulawesi Selatan yakni Ny. Andi Welly Arsyad B sebagai pengawasa dan Ny. H. Nursina Sipato SH sebagai penasehat.

Dasar yayasan pada mulanya adalah Islam, Pancasila dan UUD 1945, dengan tujuan turut berpartisipasi dalam melaksanakan program pemerintah dibidang kesejahteraan Sosial dan pendidikan.

Namun dalam perkembangannya hingaa saat ini telah terjadi 2kali perubahan akte, yang pertama ketika Yayasan Panti Asuhan Al-Hidayah dengan diberlakukannya UU No. 8 Tahun 1985 tentang Organisasi Kemasyarakatan Bab II Pasal 2, bahwa organisasi kemasyarakatan berasaskan Pancasila sebagai satu satunya asas, maka pengurus yayasan pada tanggal 10 oktober 1985 merubah akte pertama, dengan menyempurnakannya menjadi akta nomor 23/1985 dengan nama Yayasan Al-Hidayah Sulawesi Selatan, yang berasaskan Pancasila, UUD 1945 serta GBHN dengan tujuan yang sama dengan akta tahun 1983.
Perubahan akte yang kedua pada tahun 2019 dengan nama Yayasan Al Hidayah Makassar Nomor 25 tahun 20 Mei 2019 ketika pengurus generasi pertama sebagian besar telah berpulang sehingga lahirlah pengurus yayasan generasi 2 yaitu

1.        Dr. Fithriyah AW.Z, ST,MT.
2.        Dr. Fadhlina  AW, Lc, M.Ag
3.        Farid Arief Wangsa,SE, MM
4.        Wirawastati Arief Wangsa, SPd

Yayasan Al-Hidayah Makassar sampai sekarang mempunyai beberapa unit usaha salah satunya panti asuhan yang berdiri sejak 1983 dan pada pertengahan tahun 1984, memindahkan anak-anak asuhannya ke Jalan  Gatot Subroto No.18 Ujung Pandang (merupakan pinjaman dari Bapak Drs. H. M.Arief  Wangsa), yang sekaligus sebagai kantor Yayasan dan panti asuhan sampai tanggal 1 Agustus 1992,dan sejak tanggal 2 Agustus 1992 telah pindah menempati asrama sendiri di jalan Arif Rahman Hakim 1 No.13 Telp : 449008 hingga saat ini. Dan sejak tahun 2017 sampai saat ini pucuk pimpinan panti asuhan Al-Hidayah diketuai oleh ibu Wirawastati Arief Wangsa.
Demikianlah sejarah singkat berdirinya Yayasan Al-Hidayah Makassar khusunya sejarah singkat Panti Asuhan Al-Hidayah ini dibuat,  semoga bermanfaat adanya.","Fasilitas : 
meja belajar sekitar 20 unit, tambahan Kasur 10 unit, Peralatan makan, Handuk mandi 40 pcs, Kain Seprei 40 pcs, kelambu 40 pcs, Peralatan dapur misal blender, oven, mixer karena peralatan dapur kami kebanyakan sudah usang dan rusak, Kipas an","['Makanan', 'Fasilitas', 'Kesehatan', 'Infrastruktur', 'Pendidikan']","PROGRAM KERJA
Jangka Pendek :
1.        Pembinaan anak sesuai standar pelayanan
2.        Rehabilitasi kecil-kecilan
3.        Rekreasi
4.        Penambahan sarana administrasi
5.        Penambahan sarana pelayanan
6.        Penyantunan fakir miski","['Pendidikan', 'Keagamaan', 'Keterampilan', 'Minat/Bakat']",10.0,40,13.0,27.0,4,4,sejarah singkat yayasan al hidayah sulawesi selatan yayasan al hidayah bernama yayasan panti asuhan al hidayah didirikan tanggal 18 oktober 1983 ujung pandang orang 1 ny h st hadawiyah b arief wangsa 2 nn dra nurhayati r matemmang 3 ny h aminah naim 4 nn sri sakti 5 ny hj djuhrah nur rasuly 6 nn khaeriyah harun badan pengurus yayasan badan pengurus diatas pengurus daerah pengajian al hidayah keluarga golkar tk i sulawesi selatan ny andi welly arsyad b pengawasa ny h nursina sipato sh penasehat dasar yayasan islam pancasila uud 1945 tujuan berpartisipasi melaksanakan program pemerintah dibidang kesejahteraan sosial pendidikan perkembangannya hingaa 2kali perubahan akte yayasan panti asuhan al hidayah diberlakukannya uu no 8 1985 organisasi kemasyarakatan bab ii pasal 2 organisasi kemasyarakatan berasaskan pancasila satunya asas pengurus yayasan tanggal 10 oktober 1985 merubah akte menyempurnakannya akta nomor 23 1985 nama yayasan al hidayah sulawesi selatan berasaskan pancasila uud 1945 gbhn tujuan akta 1983 perubahan akte 2019 nama yayasan al hidayah makassar nomor 25 20 mei 2019 pengurus generasi berpulang lahirlah pengurus yayasan generasi 2 1 dr fithriyah aw z st mt 2 dr fadhlina aw lc m ag 3 farid arief wangsa mm 4 wirawastati arief wangsa spd yayasan al hidayah makassar unit usaha salah satunya panti asuhan berdiri 1983 pertengahan 1984 memindahkan anak anak asuhannya jalan gatot subroto no 18 ujung pandang pinjaman drs h m arief wangsa kantor yayasan panti asuhan tanggal 1 agustus 1992 tanggal 2 agustus 1992 pindah menempati asrama jalan arif rahman hakim 1 no 13 telp 449008 2017 pucuk pimpinan panti asuhan al hidayah diketuai wirawastati arief wangsa sejarah singkat berdirinya yayasan al hidayah makassar khusunya sejarah singkat panti asuhan al hidayah semoga bermanfaat,fasilitas meja belajar 20 unit tambahan kasur 10 unit peralatan makan handuk mandi 40 pcs kain seprei 40 pcs kelambu 40 pcs peralatan dapur blender oven mixer peralatan dapur kebanyakan usang rusak kipas an,program kerja jangka pendek 1 pembinaan anak sesuai standar pelayanan 2 rehabilitasi kecilan 3 rekreasi 4 penambahan sarana administrasi 5 penambahan sarana pelayanan 6 penyantunan fakir miski,Al Hidayah Makasar sejarah singkat yayasan al hidayah sulawesi selatan yayasan al hidayah bernama yayasan panti asuhan al hidayah didirikan tanggal 18 oktober 1983 ujung pandang orang 1 ny h st hadawiyah b arief wangsa 2 nn dra nurhayati r matemmang 3 ny h aminah naim 4 nn sri sakti 5 ny hj djuhrah nur rasuly 6 nn khaeriyah harun badan pengurus yayasan badan pengurus diatas pengurus daerah pengajian al hidayah keluarga golkar tk i sulawesi selatan ny andi welly arsyad b pengawasa ny h nursina sipato sh penasehat dasar yayasan islam pancasila uud 1945 tujuan berpartisipasi melaksanakan program pemerintah dibidang kesejahteraan sosial pendidikan perkembangannya hingaa 2kali perubahan akte yayasan panti asuhan al hidayah diberlakukannya uu no 8 1985 organisasi kemasyarakatan bab ii pasal 2 organisasi kemasyarakatan berasaskan pancasila satunya asas pengurus yayasan tanggal 10 oktober 1985 merubah akte menyempurnakannya akta nomor 23 1985 nama yayasan al hidayah sulawesi selatan berasaskan pancasila uud 1945 gbhn tujuan akta 1983 perubahan akte 2019 nama yayasan al hidayah makassar nomor 25 20 mei 2019 pengurus generasi berpulang lahirlah pengurus yayasan generasi 2 1 dr fithriyah aw z st mt 2 dr fadhlina aw lc m ag 3 farid arief wangsa mm 4 wirawastati arief wangsa spd yayasan al hidayah makassar unit usaha salah satunya panti asuhan berdiri 1983 pertengahan 1984 memindahkan anak anak asuhannya jalan gatot subroto no 18 ujung pandang pinjaman drs h m arief wangsa kantor yayasan panti asuhan tanggal 1 agustus 1992 tanggal 2 agustus 1992 pindah menempati asrama jalan arif rahman hakim 1 no 13 telp 449008 2017 pucuk pimpinan panti asuhan al hidayah diketuai wirawastati arief wangsa sejarah singkat berdirinya yayasan al hidayah makassar khusunya sejarah singkat panti asuhan al hidayah semoga bermanfaat fasilitas meja belajar 20 unit tambahan kasur 10 unit peralatan makan handuk mandi 40 pcs kain seprei 40 pcs kelambu 40 pcs peralatan dapur blender oven mixer peralatan dapur kebanyakan usang rusak kipas an program kerja jangka pendek 1 pembinaan anak sesuai standar pelayanan 2 rehabilitasi kecilan 3 rekreasi 4 penambahan sarana administrasi 5 penambahan sarana pelayanan 6 penyantunan fakir miski Makanan Fasilitas Kesehatan Infrastruktur Pendidikan
466,Pundi Amal Hasanah Umat,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,31 Oct 2021,03 Mar 2023,Deden Mulyadi,"Jl. Puri Beta Sel. Raya No.15, RT.003/RW.013, Larangan Utara, Kec. Larangan, Kota Tangerang, Banten 15154, Indonesia","Sebuah LKSA yang memiliki motivasi : 
”Menjadikan anak – anak yatim, piatu dan dhuafa menuju masyarakat yang mempunyai daya saing yang tinggi sejajar dengan anak- anak yang mampu pada umumnya melalui binaan dan bimbingan pengajar intern civitas pengurus yayasan ”","Kebutuhan pokok sehari-hari

Biaya pendidikan

Fasilitas kesehatan (obat-obatan, vitamin, alat kebersihan, dll)","['Makanan', 'Kesehatan', 'Pendidikan']","Memiliki program pendidikan Al Quran

Pembinaan masyarakat kurang mampu","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",23.0,166,89.0,77.0,3,3,lksa memiliki motivasi menjadikan anak anak yatim piatu dhuafa masyarakat daya saing sejajar anak anak binaan bimbingan pengajar intern civitas pengurus yayasan,kebutuhan pokok sehari biaya pendidikan fasilitas kesehatan obat obatan vitamin alat kebersihan dll,memiliki program pendidikan al quran pembinaan masyarakat,Pundi Amal Hasanah Umat lksa memiliki motivasi menjadikan anak anak yatim piatu dhuafa masyarakat daya saing sejajar anak anak binaan bimbingan pengajar intern civitas pengurus yayasan kebutuhan pokok sehari biaya pendidikan fasilitas kesehatan obat obatan vitamin alat kebersihan dll memiliki program pendidikan al quran pembinaan masyarakat Makanan Kesehatan Pendidikan
467,Rumah Singgah Kreatif Usaha Mandiri Alami (KUMALA),Lembaga Kesejahteraan Sosial Anak,['Rumah Singgah Anak Jalanan'],0,31 Oct 2021,02 Mar 2023,Dindin Komarudin,"Jl. Sungai Bambu No.44, RT.4/RW.9, Sungai Bambu, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14320, Indonesia",Rehabilitasi sosial dan pemberdayaan masyarakat melalui kegiatan kewirausahaan seni daur ulang kertas dan handycraft,Makanan/ Sembako sebagai pendukung pemberdayaan masyarakat melalui kegiatan pelatihan kewirausahaan seni daur ulang kertas dan handycraft,"['Makanan', 'Kegiatan']",Program pemberdayaan masyarakat marjinal melalui kegiatan kewirausahaan seni daur ulang kertas dan handycraft,"['Keterampilan', 'Minat/Bakat', 'Pembinaan Masyarakat']",12.0,120,66.0,54.0,3,3,rehabilitasi sosial pemberdayaan masyarakat kegiatan kewirausahaan seni daur ulang kertas handycraft,makanan sembako pendukung pemberdayaan masyarakat kegiatan pelatihan kewirausahaan seni daur ulang kertas handycraft,program pemberdayaan masyarakat marjinal kegiatan kewirausahaan seni daur ulang kertas handycraft,Rumah Singgah Kreatif Usaha Mandiri Alami (KUMALA) rehabilitasi sosial pemberdayaan masyarakat kegiatan kewirausahaan seni daur ulang kertas handycraft makanan sembako pendukung pemberdayaan masyarakat kegiatan pelatihan kewirausahaan seni daur ulang kertas handycraft program pemberdayaan masyarakat marjinal kegiatan kewirausahaan seni daur ulang kertas handycraft Makanan Kegiatan
468,Panti Erbe,Lembaga Kesejahteraan Sosial Anak,['Panti Balita'],0,31 Oct 2021,02 Mar 2023,Abdul Rohim,"Jl. Rawadas, RT.9/RW.3, Pd. Kopi, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta, Indonesia",Layanan Sosial Masyarakat berbasis Perlindungan Anak dan Pemberdayaan ,"Kebutuhan pokok sehari-hari

Biaya operasional kegiatan masyarakat","['Makanan', 'Kegiatan']",Layanan Sosial Masyarakat berbasis Perlindungan Anak dan Pemberdayaan ,"['Pendidikan', 'Minat/Bakat', 'Pembinaan Masyarakat']",12.0,165,58.0,107.0,3,3,layanan sosial masyarakat berbasis perlindungan anak pemberdayaan,kebutuhan pokok sehari biaya operasional kegiatan masyarakat,layanan sosial masyarakat berbasis perlindungan anak pemberdayaan,Panti Erbe layanan sosial masyarakat berbasis perlindungan anak pemberdayaan kebutuhan pokok sehari biaya operasional kegiatan masyarakat layanan sosial masyarakat berbasis perlindungan anak pemberdayaan Makanan Kegiatan
469,Rumah Singgah Setia Kawan Raharja (Sekar),Lembaga Kesejahteraan Sosial Anak,['Rumah Singgah Anak Jalanan'],0,31 Oct 2021,03 Mar 2023,Wardoyo,"Jalan Tanah Pasir, Gg. Arca No.6, RT.15/RW.7, Penjaringan, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14440, Indonesia",Kesejahteraan Sosial / Rumah Singgah,"Kebutuhan pokok sehari-hari

Biaya kegiatan masyarakat","['Makanan', 'Kegiatan']",Pemberdayaan anak dan keluarga pra sejahtera,"['Pendidikan', 'Pembinaan Masyarakat']",7.0,43,26.0,17.0,2,2,kesejahteraan sosial rumah singgah,kebutuhan pokok sehari biaya kegiatan masyarakat,pemberdayaan anak keluarga pra sejahtera,Rumah Singgah Setia Kawan Raharja (Sekar) kesejahteraan sosial rumah singgah kebutuhan pokok sehari biaya kegiatan masyarakat pemberdayaan anak keluarga pra sejahtera Makanan Kegiatan
470,Panti An Nisiniyyah Wal Muzainiyyah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,10 Nov 2021,02 Mar 2023,H. AHMAD EFENDI NISIN,"Jl. Marsekal Surya Darma Baru, RT.001/RW.007, Selapajang Jaya, Kec. Neglasari, Kota Tangerang, Banten, Indonesia","Sebuah lembaga yang berdiri dari niat awal mengumpulkan anak yatim piatu dan dhuafa di lingkungan sekitar dan menyekolahkan mereka di sekolah-sekolah terdekat di tahun 2000.

Tahun 2012, lembaga ini sah menjadi sebuah Yayasan dengan semangat mensupport pendidikan dengan mendirikan sekolah SMP dan SMK untuk anak didik kami bersekolah agar lebih terkontrol oleh yayasan","Kebutuhan primer (bahan makanan pokok) sangat dibutuhkan. 

Kebutuhan alat tulis sekolah dengan jumlah anak asuh total 166 orang","['Makanan', 'Fasilitas', 'Pendidikan']","1.         Mentoring Agama Islam (MAI)
2.         Sholat wajib berjama’ah, sholat Tahajud secara rutin.
3.         Tahfidzul Qur’an, Pengajaran Bahasa Arab dan Bahasa Inggris.
4.         Pelatihan Seni Budaya Islam (Nasyid, Hadhrah, Marawis)
5.       ","['Pendidikan', 'Keagamaan', 'Pembinaan Masyarakat']",11.0,116,56.0,60.0,3,3,lembaga berdiri niat mengumpulkan anak yatim piatu dhuafa lingkungan menyekolahkan sekolah sekolah terdekat 2000 2012 lembaga sah yayasan semangat mensupport pendidikan mendirikan sekolah smp smk anak didik bersekolah terkontrol yayasan,kebutuhan primer bahan makanan pokok dibutuhkan kebutuhan alat tulis sekolah anak asuh total 166 orang,1 mentoring agama islam mai 2 sholat wajib berjama ah sholat tahajud rutin 3 tahfidzul qur an pengajaran bahasa arab bahasa inggris 4 pelatihan seni budaya islam nasyid hadhrah marawis 5,Panti An Nisiniyyah Wal Muzainiyyah lembaga berdiri niat mengumpulkan anak yatim piatu dhuafa lingkungan menyekolahkan sekolah sekolah terdekat 2000 2012 lembaga sah yayasan semangat mensupport pendidikan mendirikan sekolah smp smk anak didik bersekolah terkontrol yayasan kebutuhan primer bahan makanan pokok dibutuhkan kebutuhan alat tulis sekolah anak asuh total 166 orang 1 mentoring agama islam mai 2 sholat wajib berjama ah sholat tahajud rutin 3 tahfidzul qur an pengajaran bahasa arab bahasa inggris 4 pelatihan seni budaya islam nasyid hadhrah marawis 5 Makanan Fasilitas Pendidikan
471,Yayasan Nur'aini Tangerang,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,26 Nov 2021,03 Mar 2023,Ahmad Fahrurrozi,"Jl. Komp. SD, RT.005/RW.003, Cibodas, Kec. Cibodas, Kota Tangerang, Banten, Indonesia",Sosial,Makan 96 anak,['Makanan'],Bergerak di bidang sosial,['Keagamaan'],5.0,96,50.0,46.0,1,1,sosial,makan 96 anak,bergerak bidang sosial,Yayasan Nur'aini Tangerang sosial makan 96 anak bergerak bidang sosial Makanan
472,DILTS Foundation,Lembaga Kesejahteraan Sosial Anak,['Rumah Singgah Anak Jalanan'],0,24 Dec 2021,03 Mar 2023,DR. Russel Dilts,"11, Jl. Swadaya No.1, RT.10/RW.9, Pejaten Tim., Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510, Indonesia","Dilts Foundation adalah yayasan sosial yang berdiri pada 1 Mei 2000 diprakarsai oleh DR. Russel Dilts beserta istri Wahyu Setyowati. Namun, kegiatan pasangan Dilts sendiri telah dilakukan sejak 1996 karena kepeduliannya terhadap nasib anak-anak jalanan, anak terlantar, pemulung kecil, anak yatim/piatu dan anak-anak dari kalangan keluarga prasejahtera dengan dibantu oleh rekan-rekan sukarelawan baik secara material maupun immaterial.

","Kebutuhan pokok sehari hari

Biaya pendidikan anak asuh","['Makanan', 'Pendidikan']","Ujian Kesetaraan: Menyelenggarakan belajar kelompok bagi anak-anak putus sekolah untuk nantinya (Paket A, B dan C)",['Pendidikan'],5.0,27,12.0,15.0,1,1,dilts foundation yayasan sosial berdiri 1 mei 2000 diprakarsai dr russel dilts beserta istri wahyu setyowati kegiatan pasangan dilts 1996 kepeduliannya nasib anak anak jalanan anak terlantar pemulung anak yatim piatu anak anak kalangan keluarga prasejahtera dibantu rekan rekan sukarelawan material immaterial,kebutuhan pokok sehari biaya pendidikan anak asuh,ujian kesetaraan menyelenggarakan belajar kelompok anak anak putus sekolah paket a b c,DILTS Foundation dilts foundation yayasan sosial berdiri 1 mei 2000 diprakarsai dr russel dilts beserta istri wahyu setyowati kegiatan pasangan dilts 1996 kepeduliannya nasib anak anak jalanan anak terlantar pemulung anak yatim piatu anak anak kalangan keluarga prasejahtera dibantu rekan rekan sukarelawan material immaterial kebutuhan pokok sehari biaya pendidikan anak asuh ujian kesetaraan menyelenggarakan belajar kelompok anak anak putus sekolah paket a b c Makanan Pendidikan
474,Hidayatut Thalibin,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Non Mukim'],0,26 Dec 2021,02 Mar 2023,Ibu Ita,"Gg. Atas Rt 01/ RW 09, Mampang, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16433, Indonesia","Yayasan ini berdiri pada tanggal 6 Mei 2006 sebagai wadah untuk menyantuni anak yatim dan dhuafa di wilayah Pancoran Mas, Depok","Biaya pendidikan untuk anak asuh

Biaya operasional panti","['Pendidikan', 'Kegiatan']","Pengajian bulanan untuk anak asuh dan warga sekitar

Santunan anak yatim dan dhuafa","['Keagamaan', 'Pembinaan Masyarakat']",5.0,28,14.0,14.0,2,2,yayasan berdiri tanggal 6 mei 2006 wadah menyantuni anak yatim dhuafa wilayah pancoran mas depok,biaya pendidikan anak asuh biaya operasional panti,pengajian bulanan anak asuh warga santunan anak yatim dhuafa,Hidayatut Thalibin yayasan berdiri tanggal 6 mei 2006 wadah menyantuni anak yatim dhuafa wilayah pancoran mas depok biaya pendidikan anak asuh biaya operasional panti pengajian bulanan anak asuh warga santunan anak yatim dhuafa Pendidikan Kegiatan
475,Panti Asuhan Darushsholihin,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,27 Dec 2021,03 Mar 2023,PD Muhammadiyah Bogor,"Jl. Sholeh Iskandar No.2, Parakan Jaya, Kec. Kemang, Kota Bogor, Jawa Barat 16310","Panti yang berdiri sejak tahun 1996 ini merupakan salah satu panti yang dikelola oleh PDM Muhammadiyah Bogor

Panti ini khusus bagi anak laki-laki yatim piatu dan dhuafa","Kebutuhan bahan pokok harian

Kebutuhan biaya sekolah anak asuh

Program pelatihan keterampilan anak","['Makanan', 'Pendidikan', 'Kegiatan']","Kegiatan pengajian harian bagi anak asuh

Kegiatan softskill bagi anak asuh","['Pendidikan', 'Keagamaan', 'Keterampilan']",7.0,30,30.0,0.0,3,3,panti berdiri 1996 salah panti dikelola pdm muhammadiyah bogor panti khusus anak laki laki yatim piatu dhuafa,kebutuhan bahan pokok harian kebutuhan biaya sekolah anak asuh program pelatihan keterampilan anak,kegiatan pengajian harian anak asuh kegiatan softskill anak asuh,Panti Asuhan Darushsholihin panti berdiri 1996 salah panti dikelola pdm muhammadiyah bogor panti khusus anak laki laki yatim piatu dhuafa kebutuhan bahan pokok harian kebutuhan biaya sekolah anak asuh program pelatihan keterampilan anak kegiatan pengajian harian anak asuh kegiatan softskill anak asuh Makanan Pendidikan Kegiatan
476,Al Chalidiyah,Lembaga Kesejahteraan Sosial Anak,['Panti Anak Mukim'],0,27 Dec 2021,03 Mar 2023,Amel,"Jl. Bukit Warnasari Endah, Cilebut Tim., Kec. Sukaraja, Kabupaten Bogor, Jawa Barat 16710, Indonesia","Panti yang berlokasi di wilayah kalibata, jakarta selatan","Kebutuhan bahan pokok harian

Kebutuhan peralatan sekolah

Kebutuhan dana pembangunan asrama putri","['Makanan', 'Fasilitas', 'Pendidikan']","Pengajian harian anak asuh

Kegiatan santunan","['Keagamaan', 'Pembinaan Masyarakat']",8.0,62,25.0,37.0,2,2,panti berlokasi wilayah kalibata jakarta selatan,kebutuhan bahan pokok harian kebutuhan peralatan sekolah kebutuhan dana pembangunan asrama putri,pengajian harian anak asuh kegiatan santunan,Al Chalidiyah panti berlokasi wilayah kalibata jakarta selatan kebutuhan bahan pokok harian kebutuhan peralatan sekolah kebutuhan dana pembangunan asrama putri pengajian harian anak asuh kegiatan santunan Makanan Fasilitas Pendidikan
